date,open,high,low,close,volume
29/10/2013,1019.1,1036.94,1013.5,1036.24,3206700
30/10/2013,1037.43,1037.51,1026,1030.42,2645500
31/10/2013,1028.93,1041.52,1023.97,1030.58,3276700
01/11/2013,1031.79,1036,1025.1,1027.04,2564000
04/11/2013,1031.5,1032.37,1022.03,1026.11,2275300
05/11/2013,1020.35,1031.65,1017.42,1021.52,2360400
06/11/2013,1025.6,1027,1015.37,1022.75,1823900
07/11/2013,1022.61,1023.93,1007.64,1007.95,3355800
08/11/2013,1008.75,1018.5,1008.5,1016.03,2579000
11/11/2013,1009.51,1015.93,1008,1010.59,2222900
12/11/2013,1007.7,1017.56,1005,1011.78,2433700
13/11/2013,1006.75,1032.85,1006.5,1032.47,3155600
14/11/2013,1033.92,1039.75,1030.35,1035.23,2331000
15/11/2013,1034.87,1038,1030.31,1033.56,2550000
18/11/2013,1035.75,1048.74,1029.24,1031.55,3515800
19/11/2013,1031.72,1034.75,1023.05,1025.2,2260900
20/11/2013,1029.95,1033.36,1020.36,1022.31,1925400
21/11/2013,1027,1038.31,1026,1034.07,2181400
22/11/2013,1033.42,1036.17,1029.22,1031.89,2505800
25/11/2013,1037.16,1053.19,1035.02,1045.93,3222700
26/11/2013,1048.6,1061.5,1042.94,1058.41,4568000
27/11/2013,1062.03,1068,1060,1063.11,2244900
29/11/2013,1062.16,1066.62,1059.45,1059.59,2383200
02/12/2013,1063.51,1066.35,1050.76,1054.48,2743600
03/12/2013,1050.95,1063.44,1049.02,1053.26,3348800
04/12/2013,1051.37,1063.98,1050,1058.18,2380800
05/12/2013,1057.2,1059.66,1051.09,1057.34,2265100
06/12/2013,1069.79,1070,1060.08,1069.87,2854700
09/12/2013,1070.99,1082.31,1068.02,1078.14,2962200
10/12/2013,1076.15,1092.31,1075.65,1084.66,3704000
11/12/2013,1087.4,1091.32,1075.17,1077.29,3420100
12/12/2013,1079.57,1082.94,1069,1069.96,3189800
13/12/2013,1075.4,1076.29,1057.88,1060.79,4320400
16/12/2013,1064,1074.69,1062.01,1072.98,3200700
17/12/2013,1072.82,1080.76,1068.38,1069.86,3068300
18/12/2013,1071.85,1084.95,1059.04,1084.75,4416100
19/12/2013,1080.77,1091.99,1079.08,1086.22,3328000
20/12/2013,1088.3,1101.17,1088,1100.62,6516600
23/12/2013,1107.84,1115.8,1105.12,1115.1,3439700
24/12/2013,1114.97,1115.24,1108.1,1111.84,1466900
26/12/2013,1114.01,1119,1108.69,1117.46,2672900
27/12/2013,1120,1120.28,1112.94,1118.4,3136200
30/12/2013,1120.34,1120.5,1109.02,1109.46,2469700
31/12/2013,1112.24,1121,1106.26,1120.71,2713000
02/01/2014,1115.46,1117.75,1108.26,1113.12,3639100
03/01/2014,1115,1116.93,1104.93,1105,3330000
06/01/2014,1113.01,1118.86,1106.44,1117.32,3535000
07/01/2014,1125,1139.69,1121.16,1138.86,5100000
08/01/2014,1146,1147.32,1133.29,1141.23,4480500
09/01/2014,1143.44,1144.22,1125.56,1130.24,4164800
10/01/2014,1139.08,1139.08,1122.25,1130.18,4282700
13/01/2014,1126.47,1146.91,1117.17,1122.98,4832900
14/01/2014,1137.95,1151,1128.09,1149.4,4960200
15/01/2014,1152.99,1155,1143.79,1148.62,3896400
16/01/2014,1149.1,1157.93,1148,1156.22,3364400
17/01/2014,1156.85,1160.63,1144.2,1150.53,5397100
21/01/2014,1160.93,1164,1151.3,1163.7,3955800
22/01/2014,1166.61,1167.89,1158.86,1165.02,3139600
23/01/2014,1160,1162.49,1154.37,1160.1,3894300
24/01/2014,1151.01,1153.54,1123,1123.83,7777200
27/01/2014,1126.1,1126.5,1082.27,1101.23,8698400
28/01/2014,1110.32,1125.75,1109.94,1123.01,4415900
29/01/2014,1119.12,1121.75,1099.42,1106.92,4755000
30/01/2014,1145,1152.49,1127.25,1135.39,10172600
31/01/2014,1171.35,1186.54,1151.13,1180.97,11121400
03/02/2014,1179.2,1181.72,1132,1133.43,9129000
04/02/2014,1137.99,1155,1137.01,1138.16,5618100
05/02/2014,1143.38,1150.77,1128.02,1143.2,4784200
06/02/2014,1151.13,1160.16,1147.55,1159.96,3889300
07/02/2014,1167.63,1177.9,1160.56,1177.44,5267100
10/02/2014,1171.8,1182.4,1169.02,1172.93,3886500
11/02/2014,1180.17,1191.87,1172.21,1190.18,4097400
12/02/2014,1189,1190,1181.38,1186.69,3445500
13/02/2014,1180.75,1199.9,1179.66,1199.9,3669100
14/02/2014,1195.61,1204.39,1192.8,1202.8,4369000
18/02/2014,1201.41,1212.87,1200,1210.88,4213500
19/02/2014,1205.3,1209.22,1197.5,1202.34,4202900
20/02/2014,1203.14,1206.88,1200.22,1204.11,3398100
21/02/2014,1207.81,1209.87,1202.84,1203.79,3720800
24/02/2014,1205.36,1220.16,1205.1,1212.51,3345200
25/02/2014,1215.94,1224.5,1210.42,1220,2874500
26/02/2014,1224,1228.88,1213.76,1220.17,3960400
27/02/2014,1218.39,1224.24,1217.01,1219.21,2517400
28/02/2014,1220.34,1224.19,1206.22,1215.65,4622500
03/03/2014,1206.75,1207.84,1192.14,1202.69,4205300
04/03/2014,1215,1216,1209.5,1214.91,2932400
05/03/2014,1215.05,1223.08,1211.41,1218.26,2468100
06/03/2014,1222.28,1226.14,1218.6,1219.61,2533600
07/03/2014,1226.8,1226.99,1211.44,1214.79,3027100
10/03/2014,1215.69,1217.64,1204.09,1211.57,2426700
11/03/2014,1213.77,1214.32,1196.64,1199.99,3422500
12/03/2014,1196.4,1207.85,1184.19,1207.3,3924600
13/03/2014,1207.95,1210.5,1184.76,1189.06,4686500
14/03/2014,1181.99,1190.87,1172.53,1172.8,4583200
17/03/2014,1179.25,1197.07,1178.11,1192.1,4319800
18/03/2014,1194.67,1211.53,1193.06,1211.26,3626300
19/03/2014,1211.8,1211.99,1194.41,1199.25,3222500
20/03/2014,1199.95,1209.61,1195.36,1197.16,3366000
21/03/2014,1206.31,1209.63,1182.45,1183.04,6410500
24/03/2014,1184.19,1184.9,1145.95,1157.93,6068100
25/03/2014,1166,1169.84,1147,1158.72,4815500
26/03/2014,1162.01,1171.57,1131.5,1131.97,5154800
27/03/2014,1130.85,1131.94,1102.1,1114.28,7636700
28/03/2014,1119,1133.19,1117.77,1120.15,4513200
31/03/2014,1130.4,1135,1112.85,1114.51,3880700
01/04/2014,1120.27,1137.5,1118,1134.89,2181000
02/04/2014,1141.9,1144.8,1124,1135.1,4168000
03/04/2014,573.39,588.3,566.01,571.5,4018300
04/04/2014,578.55,579.7173,544.494,545.25,5363700
07/04/2014,544.79,549.85,530.53,540.63,3961600
08/04/2014,545.05,559.88,544.7,557.51,3482500
09/04/2014,565.84,567.8,555.38,567.04,3031600
10/04/2014,568,568.21,545.5,546.69,3294500
11/04/2014,537.94,547.59,533.4,537.76,3174700
14/04/2014,543.66,553.02,540.52,545.2,2541200
15/04/2014,551,552.89,530.64,548.7,3997800
16/04/2014,557.7,564,553.1,563.9,4582200
17/04/2014,556.32,557,539.4,543.34,5614700
21/04/2014,544,544,534,539.37,2425100
22/04/2014,536,547.995,536,545.5,2331100
23/04/2014,543.67,544.8,528.1277,537.51,1955700
24/04/2014,541.69,542.5,531,534.44,2067400
25/04/2014,532.26,533.86,522.5,523.1,2370000
28/04/2014,525.8,525.9,511,522.98,3752800
29/04/2014,523.89,537.76,523,536.33,2535200
30/04/2014,535.12,536.34,529.09,534.88,2038500
01/05/2014,534.25,539.91,532.86,538.53,2004300
02/05/2014,541.44,542.4,533.27,533.87,1780800
05/05/2014,530.24,535.72,527.58,535.33,1228400
06/05/2014,533.41,534.548,522.2601,522.57,1835000
07/05/2014,523.25,524.43,511.09,518,3074300
08/05/2014,515.72,527.35,514.46,520.17,2452000
09/05/2014,518.65,527.35,514.28,526.62,2261200
12/05/2014,531.84,538.75,527.51,538.43,1948400
13/05/2014,539.58,543.99,537.9,541.54,2012000
14/05/2014,541.82,541.82,533.11,534.41,1280900
15/05/2014,533.14,533.9999,525.31,529.12,1832900
16/05/2014,529.6,530.84,523.57,528.3,1907700
19/05/2014,528.88,539.35,525.66,538.83,1976500
20/05/2014,540,546.35,536.57,540.39,2425300
21/05/2014,542.9,549.75,542.11,549.7,1564700
22/05/2014,552.2,557.96,551,555.45,2149700
23/05/2014,558.13,565,554.17,563.8,2672500
27/05/2014,567.78,574.87,564.15,574.87,2185800
28/05/2014,574.57,577.66,569.952,570.45,1581600
29/05/2014,573.39,573.48,568.4525,570.56,1411100
30/05/2014,571.64,572.58,565.79,571.65,1871700
02/06/2014,569.75,570.41,556.7,564.34,1660500
03/06/2014,560.9,562.4,552.5275,554.51,2031300
04/06/2014,551.52,558.58,548.56,553.76,1729100
05/06/2014,557.11,565,555.05,564.93,1793400
06/06/2014,568.16,568.7999,559.58,566.03,1740200
